time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445850000	14.8603	3.19891	5.13077	0.512864	0.269513	radar	3.82415	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0609	3.38601	5.13756	0.556367	0.306189	lidar	1.0561	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2706	3.55171	5.14125	0.588104	0.330122	radar	2.32974	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4778	3.7325	5.15197	0.620778	0.349013	lidar	0.657246	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6913	3.86611	5.14886	0.628988	0.336999	radar	0.972893	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9111	4.00709	5.1522	0.637793	0.32675	lidar	0.239587	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1082	4.17668	5.14914	0.668838	0.354406	radar	1.65629	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3025	4.36589	5.15785	0.698705	0.368274	lidar	0.405837	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5117	4.52458	5.16292	0.708289	0.354432	radar	0.705588	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6919	4.69761	5.15631	0.731278	0.361619	lidar	0.421189	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8459	4.91018	5.14683	0.789577	0.433784	radar	4.74685	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0095	5.12745	5.15445	0.827045	0.451942	lidar	0.450389	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1792	5.31094	5.14772	0.85216	0.461975	radar	1.88819	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3431	5.49414	5.13967	0.872359	0.459621	lidar	0.320319	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4977	5.6842	5.12915	0.901891	0.47809	radar	3.65753	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7	5.81454	5.11208	0.889534	0.437523	lidar	2.70978	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8366	6.03217	5.10845	0.934305	0.480354	radar	1.49345	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0166	6.21138	5.10708	0.940245	0.459141	lidar	0.813299	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1599	6.42785	5.10973	0.968829	0.467891	radar	0.503484	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2847	6.65182	5.10917	1.00127	0.478628	lidar	0.268407	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4108	6.87596	5.10935	1.03397	0.494432	radar	0.225772	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5674	7.02838	5.07873	1.03234	0.467912	lidar	4.01036	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7118	7.23989	5.08157	1.04247	0.444044	radar	0.409221	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9169	7.38166	5.06226	1.01866	0.393117	lidar	5.54	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9949	7.61494	5.05	1.07461	0.457225	radar	5.00584	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0913	7.85183	5.05115	1.10809	0.469489	lidar	0.363185	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2057	8.07227	5.04851	1.12743	0.463322	radar	0.480348	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2902	8.28355	5.02922	1.15499	0.470776	lidar	2.45103	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3832	8.50795	5.02347	1.17431	0.45887	radar	2.73382	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4839	8.67415	4.97974	1.18328	0.448272	lidar	7.85256	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5644	8.90336	4.97432	1.2144	0.466373	radar	1.08337	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7349	9.07064	4.95283	1.19431	0.419417	lidar	6.22252	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7958	9.31107	4.95042	1.23666	0.458248	radar	1.05727	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9357	9.51233	4.94323	1.23106	0.426489	lidar	2.99245	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9673	9.75696	4.9368	1.28728	0.489261	radar	3.14225	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0635	9.97282	4.92841	1.29716	0.473582	lidar	0.761059	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.117	10.2226	4.93524	1.32156	0.466439	radar	6.2446	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1728	10.4637	4.93591	1.34592	0.467533	lidar	0.00417628	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1801	10.7116	4.93114	1.39888	0.518509	radar	3.13081	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2463	10.9547	4.93608	1.41406	0.505859	lidar	0.982644	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2722	11.208	4.94153	1.44041	0.500988	radar	4.45579	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3096	11.4371	4.93083	1.46098	0.497378	lidar	0.418016	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2483	11.6926	4.92677	1.54338	0.597966	radar	10.7117	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3239	11.9224	4.92277	1.54401	0.566239	lidar	4.68103	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3467	12.1623	4.91932	1.54688	0.511125	radar	4.06108	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3412	12.4211	4.92856	1.57597	0.513688	lidar	0.313021	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
